date,open,high,low,close,volume
13/01/86,0.4063,0.4129,0.4018,0.4107,53855200
14/01/86,0.4107,0.4241,0.4018,0.4152,68174400
15/01/86,0.4152,0.4286,0.4129,0.4263,105868000
16/01/86,0.4263,0.442,0.4263,0.4375,133694400
17/01/86,0.4375,0.442,0.4263,0.4286,86346400
20/01/86,0.4286,0.4286,0.4173,0.4263,31852800
21/01/86,0.4263,0.4307,0.4241,0.4286,37990400
22/01/86,0.4286,0.4307,0.3995,0.4173,35750400
23/01/86,0.4173,0.4196,0.4063,0.4107,39104800
24/01/86,0.4107,0.4173,0.4039,0.4039,27994400
27/01/86,0.4039,0.4063,0.3929,0.395,97395200
28/01/86,0.395,0.3995,0.3929,0.3973,55574400
29/01/86,0.3973,0.4352,0.3929,0.4218,147392000
30/01/86,0.4196,0.4196,0.4084,0.4107,59220000
31/01/86,0.4107,0.4152,0.4084,0.4129,36926400
03/02/86,0.4129,0.4286,0.4084,0.4263,87505600
04/02/86,0.4263,0.4352,0.4241,0.4241,65044000
05/02/86,0.4241,0.4263,0.4196,0.4241,49291200
06/02/86,0.4241,0.433,0.4218,0.4307,33555200
07/02/86,0.4307,0.4307,0.4196,0.4286,32351200
10/02/86,0.4286,0.4375,0.4241,0.4263,27960800
11/02/86,0.4263,0.4286,0.4196,0.4263,38365600
12/02/86,0.4263,0.4286,0.4241,0.4286,33264000
13/02/86,0.4286,0.4286,0.4241,0.4263,27344800
14/02/86,0.4263,0.4307,0.4241,0.4241,34378400
18/02/86,0.4241,0.4286,0.4152,0.4263,37027200
19/02/86,0.4263,0.4554,0.4263,0.4464,89919200
20/02/86,0.4464,0.453,0.4441,0.4486,34479200
21/02/86,0.4486,0.4598,0.4486,0.4509,47269600
24/02/86,0.4509,0.4598,0.4464,0.4598,61779200
25/02/86,0.4598,0.4709,0.4486,0.4709,56184800
26/02/86,0.4709,0.4777,0.4643,0.4643,41182400
27/02/86,0.4643,0.4664,0.4554,0.4575,27031200
28/02/86,0.4575,0.462,0.4441,0.4464,31281600
03/03/86,0.4464,0.4486,0.4375,0.4396,27204800
04/03/86,0.4396,0.4464,0.4375,0.4396,22276800
05/03/86,0.4396,0.4554,0.433,0.4509,44256800
06/03/86,0.4509,0.4598,0.4486,0.453,25334400
07/03/86,0.453,0.453,0.442,0.442,24046400
10/03/86,0.442,0.4441,0.4396,0.4396,18872000
11/03/86,0.4396,0.4441,0.4375,0.4441,25765600
12/03/86,0.4441,0.4486,0.442,0.442,21420000
13/03/86,0.442,0.4464,0.4352,0.442,28991200
14/03/86,0.442,0.4688,0.442,0.4664,96213600
17/03/86,0.4643,0.4643,0.453,0.4643,29680000
18/03/86,0.4643,0.4866,0.462,0.4798,62339200
19/03/86,0.4798,0.4866,0.4709,0.4732,47471200
20/03/86,0.5,0.5289,0.5,0.5045,226032800
21/03/86,0.5045,0.5134,0.4911,0.4932,65094400
24/03/86,0.4932,0.4932,0.4709,0.4777,73578400
25/03/86,0.4777,0.4977,0.4777,0.4977,70268800
26/03/86,0.4977,0.5134,0.4977,0.5045,55535200
27/03/86,0.5045,0.5179,0.5045,0.5045,54751200
31/03/86,0.5045,0.5089,0.5,0.5045,46950400
01/04/86,0.5045,0.5045,0.4821,0.4866,55680800
02/04/86,0.4866,0.4888,0.4688,0.4866,81323200
03/04/86,0.4866,0.4932,0.4798,0.4821,52768800
04/04/86,0.4821,0.4821,0.4754,0.4777,31488800
07/04/86,0.4777,0.4911,0.4688,0.4866,30032800
08/04/86,0.4866,0.4955,0.4866,0.4932,48305600
09/04/86,0.4932,0.4955,0.4798,0.4843,33829600
10/04/86,0.4843,0.4888,0.4798,0.4866,27496000
11/04/86,0.4866,0.4911,0.4821,0.4821,18916800
14/04/86,0.4821,0.4866,0.4777,0.4798,21240800
15/04/86,0.4798,0.4911,0.4798,0.4888,32849600
16/04/86,0.4888,0.5089,0.4888,0.5045,52707200
17/04/86,0.5045,0.52,0.5,0.5179,67524800
18/04/86,0.5179,0.5334,0.5134,0.5313,61919200
21/04/86,0.5334,0.5491,0.5334,0.5423,68387200
